RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,6652.666666666667,6628.0,7778.333333333333,8306.0,9107.333333333334,9075.0,9380.666666666666,9148.333333333334,8579.666666666666,8131.0,7309.666666666667,6569.666666666667,6058.333333333333,6170.0,7404.333333333333,8458.0,9446.0,9541.0,9671.0,9510.0,9239.666666666666,8895.666666666666,8117.333333333333,7239.666666666667,6549.666666666667,6680.666666666667,7109.333333333333,6313.666666666667,6003.666666666667,6693.333333333333,8565.666666666666,9601.0,9819.666666666666,10130.666666666666,9541.333333333334,8753.333333333334
394463,3,"Chicago, IL",Msa,IL,7503.0,8010.666666666667,10463.0,12304.666666666666,13926.333333333334,13757.333333333334,13399.0,12518.0,11267.333333333334,10322.666666666666,8996.0,7840.666666666667,7269.666666666667,7824.666666666667,10283.666666666666,12545.333333333334,14242.333333333334,14257.333333333334,13523.0,12520.333333333334,11477.666666666666,10581.0,9433.666666666666,8165.333333333333,7870.0,8962.0,10878.666666666666,10616.0,11095.333333333334,12621.333333333334,15480.0,16655.0,15772.333333333334,14537.0,12553.0,10683.333333333334
394514,4,"Dallas-Fort Worth, TX",Msa,TX,6110.0,6016.333333333333,6553.333333333333,7239.0,8080.333333333333,8405.0,8599.333333333334,8331.0,7877.333333333333,7189.333333333333,6503.0,5863.333333333333,5527.0,5743.0,6703.0,7807.333333333333,8550.0,8765.333333333334,8791.666666666666,8566.333333333334,8153.0,7537.0,6972.0,6439.0,6150.0,6490.0,7371.0,7294.333333333333,7843.666666666667,8619.0,10203.333333333334,10618.0,10177.666666666666,9532.333333333334,8723.666666666666,7949.333333333333
394692,6,"Houston, TX",Msa,TX,5654.666666666667,5890.666666666667,6865.333333333333,7612.0,8434.0,8661.666666666666,8775.333333333334,8481.666666666666,7668.333333333333,7063.333333333333,6283.333333333333,5781.666666666667,5620.333333333333,6013.666666666667,7172.666666666667,8143.0,8833.666666666666,9051.333333333334,8950.0,8623.0,7994.666666666667,7371.666666666667,6741.0,6141.0,6023.666666666667,6513.333333333333,7364.0,7204.0,7818.666666666667,8854.666666666666,10244.0,10339.666666666666,9730.333333333334,9290.333333333334,8614.333333333334,7938.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,4670.0,4862.666666666667,5521.333333333333,5702.0,5973.333333333333,5737.333333333333,5561.333333333333,5299.666666666667,5031.666666666667,4952.0,4573.0,4209.0,4145.666666666667,4719.333333333333,5891.666666666667,6698.666666666667,6984.666666666667,6709.333333333333,6413.666666666667,6144.333333333333,5872.666666666667,5762.333333333333,5486.333333333333,5169.666666666667,5149.333333333333,5739.666666666667,6224.333333333333,5275.333333333333,4798.333333333333,5261.666666666667,6701.666666666667,7287.666666666667,7299.666666666667,7226.333333333333,6815.333333333333,6433.0
394347,9,"Atlanta, GA",Msa,GA,7263.666666666667,7503.333333333333,8958.666666666666,9778.666666666666,10657.666666666666,10694.333333333334,10756.0,10512.333333333334,9786.333333333334,9253.666666666666,8170.666666666667,7307.0,7058.0,7630.333333333333,9433.666666666666,10624.333333333334,11676.0,11703.333333333334,11437.333333333334,10864.0,10265.0,9799.0,9101.666666666666,8185.333333333333,8034.333333333333,8424.666666666666,9575.666666666666,9153.0,9706.0,10416.0,11824.666666666666,12244.666666666666,11788.333333333334,11255.333333333334,10291.333333333334,9424.333333333334
394404,10,"Boston, MA",Msa,MA,2498.3333333333335,2355.6666666666665,2978.0,3695.0,4714.333333333333,5264.333333333333,5255.333333333333,4602.0,3929.3333333333335,3773.6666666666665,3431.6666666666665,2896.0,2452.0,2430.6666666666665,3133.6666666666665,3971.0,4838.666666666667,5191.666666666667,4887.0,4368.0,4001.6666666666665,3983.6666666666665,3767.6666666666665,3072.6666666666665,2503.6666666666665,2509.0,3141.6666666666665,3092.3333333333335,3326.6666666666665,3803.3333333333335,4588.0,4777.666666666667,4472.333333333333,4615.0,4283.333333333333,3645.0
395025,13,"Riverside, CA",Msa,CA,4031.3333333333335,4094.6666666666665,4730.666666666667,4943.666666666667,5347.666666666667,5265.0,5411.666666666667,5258.666666666667,5091.666666666667,4833.333333333333,4369.666666666667,3839.3333333333335,3727.3333333333335,3841.0,4606.0,5141.333333333333,5843.0,6028.333333333333,6152.666666666667,6044.666666666667,5817.333333333333,5646.0,5172.333333333333,4707.666666666667,4527.666666666667,4908.333333333333,5307.0,4848.333333333333,4828.666666666667,5406.333333333333,6432.333333333333,6659.333333333333,6405.666666666667,6370.0,5977.666666666667,5537.666666666667
394976,14,"Phoenix, AZ",Msa,AZ,"","","","","","","","","","","","",3918.0,4475.666666666667,5428.0,6172.333333333333,6616.0,6525.333333333333,6230.0,5908.333333333333,5672.333333333333,5467.0,5152.333333333333,4786.333333333333,4806.666666666667,5185.0,5686.0,5391.333333333333,5380.333333333333,5690.0,6227.666666666667,6322.333333333333,6329.666666666667,6519.0,6417.666666666667,6006.666666666667
394865,16,"Minneapolis-St Paul, MN",Msa,MN,1501.6666666666667,1385.0,1614.3333333333333,1819.3333333333333,2197.3333333333335,2370.0,2572.0,2507.6666666666665,2383.6666666666665,2285.0,2065.3333333333335,1782.3333333333333,1524.0,1576.6666666666667,1961.0,2551.3333333333335,3140.3333333333335,3577.3333333333335,3721.3333333333335,3667.0,3439.3333333333335,3243.0,2856.6666666666665,2487.0,2117.6666666666665,2124.0,2564.0,2841.0,3135.6666666666665,3412.6666666666665,3867.6666666666665,4225.0,4222.0,4119.333333333333,3612.0,3000.3333333333335
